Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis\davisan02,40:31,10,15,.667,1,3,.333,13,14,.929,1,4,5,3,3,0,3,2,34,+1
LeBron James\jamesle01,38:21,7,18,.389,1,3,.333,11,14,.786,1,8,9,8,0,0,0,2,26,+8
Kentavious Caldwell-Pope\caldwke01,34:25,5,12,.417,3,9,.333,0,0,,1,1,2,1,1,1,1,1,13,+4
Dwight Howard\howardw01,22:37,5,6,.833,0,0,,2,3,.667,6,5,11,1,1,0,0,2,12,+7
Danny Green\greenda02,21:14,1,6,.167,1,4,.250,0,0,,1,2,3,0,0,0,0,3,3,+12
Rajon Rondo\rondora01,21:34,4,6,.667,1,1,1.000,2,4,.500,2,3,5,7,0,0,1,3,11,-9
Alex Caruso\carusal01,20:08,1,4,.250,1,2,.500,0,0,,0,1,1,2,1,1,1,5,3,-1
Kyle Kuzma\kuzmaky01,18:30,4,11,.364,2,7,.286,0,0,,0,0,0,1,1,0,1,1,10,0
Markieff Morris\morrima02,17:28,1,2,.500,0,1,.000,0,0,,0,4,4,0,2,0,2,6,2,+5
JaVale McGee\mcgeeja01,5:12,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+3
J.R. Smith\smithjr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Quinn Cook\cookqu01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jared Dudley\dudleja01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
